,Temperature,Hour,Week,Load
133,18.4,12,1,4.47
134,18.5,13,1,4.457
135,18.8,14,1,4.418
136,19.45,15,1,4.453
137,18.75,16,1,4.539
138,18.4,17,1,4.473
139,16.95,18,1,4.301
140,15.8,19,1,4.26
141,15.35,20,1,4.276
142,15.25,21,1,3.958
143,15.15,22,1,3.796
144,14.9,23,1,4.18
145,14.5,0,2,3.843
146,14.6,1,2,3.465
147,14.4,2,2,3.246
148,14.15,3,2,3.203
149,14.3,4,2,3.36
150,14.5,5,2,3.808
151,14.95,6,2,4.328
152,15.55,7,2,4.509
153,15.8,8,2,4.598
154,15.55,9,2,4.562
155,16.45,10,2,4.566
156,17.5,11,2,4.532
157,17.7,12,2,4.477
158,18.75,13,2,4.442
159,19.6,14,2,4.424
160,19.9,15,2,4.486
161,19.35,16,2,4.579
162,19.55,17,2,4.466
163,17.9,18,2,4.338
164,16.4,19,2,4.27
165,15.55,20,2,4.296
166,14.9,21,2,4.034
167,14.4,22,2,3.877
168,13.95,23,2,4.246
169,13.3,0,3,3.883
170,12.95,1,3,3.52
171,12.65,2,3,3.306
172,12.45,3,3,3.252
173,12.35,4,3,3.387
174,12.15,5,3,3.784
175,11.95,6,3,4.335
176,14.15,7,3,4.465
177,15.85,8,3,4.529
178,17.75,9,3,4.536
179,19.45,10,3,4.589
180,22.15,11,3,4.66
181,23.85,12,3,4.691
182,23.45,13,3,4.747
183,24.95,14,3,4.819
184,26.85,15,3,4.95
185,26.1,16,3,4.994
186,25.15,17,3,4.798
187,23.25,18,3,4.54
188,21.3,19,3,4.352
189,19.85,20,3,4.37
190,18.9,21,3,4.047
191,18.25,22,3,3.87
192,17.45,23,3,4.245
193,17.1,0,4,3.848
194,16.4,1,4,3.509
195,15.55,2,4,3.302
196,15.05,3,4,3.258
197,14.4,4,4,3.419
198,14.55,5,4,3.809
199,15.15,6,4,4.363
200,17.05,7,4,4.605
201,18.85,8,4,4.793
202,20.85,9,4,4.908
203,24.25,10,4,5.04
204,27.7,11,4,5.204
205,28.4,12,4,5.358
206,30.75,13,4,5.538
207,30.7,14,4,5.708
208,32.2,15,4,5.888
209,31.75,16,4,5.966
210,30.65,17,4,5.817
211,29.75,18,4,5.571
212,28.85,19,4,5.321
213,27.85,20,4,5.141
214,25.95,21,4,4.686
215,24.7,22,4,4.367
216,24.85,23,4,4.618
217,24.05,0,5,4.158
218,23.85,1,5,3.771
219,23.5,2,5,3.555
220,22.95,3,5,3.497
221,22.2,4,5,3.646
222,21.75,5,5,4.053
223,22.35,6,5,4.687
224,24.05,7,5,5.052
225,25.15,8,5,5.342
226,27.1,9,5,5.586
227,28.05,10,5,5.808
228,29.75,11,5,6.038
229,31.25,12,5,6.296
230,31.9,13,5,6.548
231,32.95,14,5,6.787
232,33.15,15,5,6.982
233,33.95,16,5,7.035
234,33.85,17,5,6.855
235,33.25,18,5,6.561
236,32.5,19,5,6.181
237,31.5,20,5,5.899
238,28.3,21,5,5.304
239,23.9,22,5,4.795
240,22.9,23,5,4.862
241,22.3,0,6,4.264
242,21.25,1,6,3.82
243,20.5,2,6,3.588
244,19.85,3,6,3.481
245,18.85,4,6,3.514
246,18.3,5,6,3.632
247,18.1,6,6,3.857
248,18.2,7,6,4.116
249,18.15,8,6,4.375
250,18,9,6,4.462
251,17.7,10,6,4.46
252,18.25,11,6,4.422
253,19.7,12,6,4.398
254,20.75,13,6,4.407
255,21.8,14,6,4.48
256,21.5,15,6,4.621
257,21.6,16,6,4.732
258,20.8,17,6,4.735
259,19.4,18,6,4.572
260,18.4,19,6,4.385
261,17.9,20,6,4.323
262,17.6,21,6,4.069
263,17.55,22,6,3.94
264,17.55,23,6,4.247
265,17.65,0,7,3.821
266,17.4,1,7,3.416
267,17.15,2,7,3.22
268,16.8,3,7,3.124
269,17,4,7,3.132
270,16.9,5,7,3.181
271,17.2,6,7,3.337
272,17.35,7,7,3.469
273,17.65,8,7,3.668
274,17.8,9,7,3.788
275,18.4,10,7,3.834
276,19.3,11,7,3.894
277,20.2,12,7,3.964
278,21.05,13,7,4.109
279,21.7,14,7,4.275
280,21.8,15,7,4.472
281,21.8,16,7,4.623
282,21.5,17,7,4.703
283,20,18,7,4.594
284,19.3,19,7,4.447
285,18.2,20,7,4.459
286,18.1,21,7,4.137
287,17.7,22,7,3.913
288,16.95,23,7,4.231
289,16.25,0,1,3.833
290,15.6,1,1,3.475
291,15.5,2,1,3.302
292,15.3,3,1,3.279
293,15.45,4,1,3.519
294,15.5,5,1,3.975
295,15.75,6,1,4.6
296,17.35,7,1,4.864
297,19.15,8,1,5.104
298,21.65,9,1,5.308
299,24.7,10,1,5.542
300,25.2,11,1,5.759
301,24.3,12,1,6.005
302,26.9,13,1,6.285
303,28.1,14,1,6.617
304,29.45,15,1,6.993
305,29.85,16,1,7.207
306,29.45,17,1,7.095
307,26.35,18,1,6.839
308,27.05,19,1,6.387
309,25.7,20,1,6.048
310,25.15,21,1,5.433
311,23.85,22,1,4.904
312,22.45,23,1,4.959
313,21.45,0,2,4.425
314,20.85,1,2,4.053
315,20.7,2,2,3.843
316,21.3,3,2,3.823
317,21.55,4,2,4.017
318,20.8,5,2,4.521
319,22.3,6,2,5.229
320,26.3,7,2,5.802
321,32.6,8,2,6.449
322,35.15,9,2,6.975
323,36.8,10,2,7.506
324,38.15,11,2,7.973
325,39.95,12,2,8.359
326,40.85,13,2,8.596
327,41.25,14,2,8.794
328,42.3,15,2,9.03
329,41.95,16,2,9.09
330,41.35,17,2,8.885
331,40.6,18,2,8.525
332,36.35,19,2,8.147
333,36.15,20,2,7.797
334,34.6,21,2,6.938
335,34.05,22,2,6.215
336,35.4,23,2,6.123
337,36.3,0,3,5.495
338,35.55,1,3,5.14
339,33.7,2,3,4.896
340,30.65,3,3,4.812
341,29.45,4,3,5.024
342,29.5,5,3,5.536
343,31,6,3,6.293
344,33.3,7,3,7
345,35.7,8,3,7.633
346,36.65,9,3,8.03
347,37.65,10,3,8.459
348,39.4,11,3,8.768
349,40.6,12,3,9
350,40.25,13,3,9.113
351,37.55,14,3,9.155
352,37.3,15,3,9.173
353,35.4,16,3,9.039
354,32.75,17,3,8.606
355,31.2,18,3,8.095
356,29.6,19,3,7.617
357,28.35,20,3,7.208
358,27.5,21,3,6.448
359,28.75,22,3,5.74
360,28.9,23,3,5.718
361,29.9,0,4,5.106
362,28.7,1,4,4.763
363,28.65,2,4,4.61
364,28.15,3,4,4.566
365,28.25,4,4,4.737
366,27.65,5,4,5.204
367,27.8,6,4,5.988
368,29.45,7,4,6.698
369,32.5,8,4,7.438
370,35.75,9,4,8.04
371,38.85,10,4,8.484
372,39.9,11,4,8.837
373,41.1,12,4,9.052
374,41.8,13,4,9.114
375,42.75,14,4,9.214
376,39.9,15,4,9.307
377,39.75,16,4,9.313
378,40.8,17,4,9.006
379,37.95,18,4,8.556
380,31.25,19,4,8.275
381,34.6,20,4,7.911
382,30.25,21,4,7.077
383,28.5,22,4,6.348
384,27.9,23,4,6.175
385,27.95,0,5,5.455
386,27.3,1,5,5.041
387,26.9,2,5,4.759
388,26.8,3,5,4.683
389,26.05,4,5,4.908
390,26.1,5,5,5.411
391,27.7,6,5,6.199
392,31.85,7,5,6.923
393,34.85,8,5,7.593
394,36.35,9,5,8.09
395,38,10,5,8.497
396,39.2,11,5,8.843
397,41.05,12,5,9.058
398,41.6,13,5,9.159
399,42.35,14,5,9.231
400,43.1,15,5,9.253
401,33.5,16,5,8.852
402,30.7,17,5,7.994
403,29.1,18,5,7.388
404,26.4,19,5,6.735
405,23.9,20,5,6.264
406,24.7,21,5,5.69
407,24.35,22,5,5.227
408,23.45,23,5,5.22
409,23.45,0,6,4.593
410,23.55,1,6,4.213
411,23.05,2,6,3.984
412,22.2,3,6,3.891
413,22.1,4,6,3.919
414,22,5,6,4.031
415,21.9,6,6,4.287
416,22.05,7,6,4.558
417,22.55,8,6,4.872
418,22.85,9,6,4.963
419,22.45,10,6,5.004
420,22.25,11,6,5.017
421,22.65,12,6,5.057
422,22.35,13,6,5.064
423,21.9,14,6,5
424,21,15,6,5.023
425,20.95,16,6,5.007
426,20.2,17,6,4.923
427,19.7,18,6,4.74
428,19.4,19,6,4.586
429,19.2,20,6,4.517
430,18.65,21,6,4.236
431,18.15,22,6,4.055
432,18.15,23,6,4.337
433,17.65,0,7,3.848
434,17.35,1,7,3.473
435,17.15,2,7,3.273
436,16.8,3,7,3.198
437,16.75,4,7,3.204
438,16.4,5,7,3.252
439,16.5,6,7,3.404
440,16.7,7,7,3.56
441,17.3,8,7,3.767
442,17.75,9,7,3.896
443,19.2,10,7,3.934
444,20.4,11,7,3.972
445,20.9,12,7,3.985
446,21.45,13,7,4.032
447,22,14,7,4.122
448,22.1,15,7,4.239
449,21.6,16,7,4.389
450,21.7,17,7,4.499
451,20.5,18,7,4.406
452,19.85,19,7,4.356
453,19.75,20,7,4.396
454,19.5,21,7,4.106
455,19.2,22,7,3.914
456,19.8,23,7,4.265
457,19.5,0,1,3.862
458,19.2,1,1,3.546
459,19.2,2,1,3.36
460,19.15,3,1,3.359
461,19.05,4,1,3.649
462,19.1,5,1,4.18
463,19.25,6,1,4.813
464,19.55,7,1,5.086
465,20.2,8,1,5.301
466,20.55,9,1,5.384
467,21.45,10,1,5.434
468,23.15,11,1,5.47
469,23.5,12,1,5.529
470,23.4,13,1,5.582
471,23.5,14,1,5.618
472,23.3,15,1,5.636
473,22.85,16,1,5.561
474,22.25,17,1,5.291
475,20.95,18,1,5
476,19.75,19,1,4.84
477,19.45,20,1,4.767
478,18.9,21,1,4.364
479,18.45,22,1,4.16
480,17.95,23,1,4.452
481,17.55,0,2,4.011
482,17.3,1,2,3.673
483,16.95,2,2,3.503
484,16.9,3,2,3.483
485,16.85,4,2,3.695
486,17.1,5,2,4.213
487,17.25,6,2,4.81
488,17.4,7,2,5.028
489,17.85,8,2,5.149
490,18.1,9,2,5.182
491,18.6,10,2,5.208
492,19.7,11,2,5.179
493,21,12,2,5.19
494,21.4,13,2,5.22
495,22.65,14,2,5.202
496,22.55,15,2,5.216
497,22,16,2,5.232
498,21.05,17,2,5.019
499,19.55,18,2,4.828
500,18.55,19,2,4.686
501,18.3,20,2,4.657
502,17.75,21,2,4.304
503,17.8,22,2,4.106
504,17.65,23,2,4.389
505,17.8,0,3,3.955
506,17.45,1,3,3.643
507,16.95,2,3,3.489
508,16.5,3,3,3.479
509,16.9,4,3,3.695
510,17.05,5,3,4.187
511,16.75,6,3,4.732
512,17.3,7,3,4.898
513,18.8,8,3,4.997
514,19.35,9,3,5.001
515,20.75,10,3,5.022
516,21.4,11,3,5.052
517,21.9,12,3,5.094
518,21.95,13,3,5.143
519,22.8,14,3,5.178
520,22.75,15,3,5.25
521,23.2,16,3,5.255
522,22.65,17,3,5.075
523,20.8,18,3,4.867
524,19.25,19,3,4.691
525,17.8,20,3,4.665
526,16.95,21,3,4.352
527,16.55,22,3,4.121
528,16.05,23,3,4.391
529,15.75,0,4,3.966
530,15.15,1,4,3.615
531,14.7,2,4,3.437
532,14.15,3,4,3.43
533,13.9,4,4,3.666
534,13.9,5,4,4.149
535,14,6,4,4.674
536,15.8,7,4,4.851
537,17.65,8,4,5.011
538,19.7,9,4,5.105
539,22.5,10,4,5.242
540,25.3,11,4,5.378
541,24.3,12,4,5.576
542,24.65,13,4,5.79
543,26.45,14,4,6.03
544,27.25,15,4,6.254
545,26.55,16,4,6.34
546,28.8,17,4,6.253
547,27.85,18,4,6.039
548,25.2,19,4,5.736
549,24.75,20,4,5.49
550,23.75,21,4,4.936
551,22.55,22,4,4.58
552,22.35,23,4,4.742
553,21.7,0,5,4.23
554,21.3,1,5,3.895
555,20.3,2,5,3.712
556,20.05,3,5,3.7
557,20.5,4,5,3.906
558,21.25,5,5,4.364
559,20.85,6,5,4.962
560,21,7,5,5.261
561,19.4,8,5,5.463
562,18.9,9,5,5.495
563,18.15,10,5,5.477
564,18.65,11,5,5.394
565,20.2,12,5,5.25
566,20,13,5,5.159
567,21.65,14,5,5.081
568,21.95,15,5,5.083
569,21.15,16,5,5.038
570,20.4,17,5,4.857
571,19.5,18,5,4.643
572,19.15,19,5,4.526
573,18.4,20,5,4.428
574,18.05,21,5,4.141
575,17.75,22,5,3.975
576,17.6,23,5,4.29
577,17.15,0,6,3.809
578,16.75,1,6,3.423
579,16.35,2,6,3.217
580,16.25,3,6,3.132
581,15.9,4,6,3.192
582,15.85,5,6,3.343
583,15.9,6,6,3.606
584,16.2,7,6,3.803
585,18.5,8,6,3.963
586,18.75,9,6,3.998
587,18.8,10,6,3.962
588,19.85,11,6,3.894
589,19.75,12,6,3.814
590,19.6,13,6,3.776
591,19.3,14,6,3.808
592,20,15,6,3.914
593,20.25,16,6,4.033
594,19.7,17,6,4.079
595,18.6,18,6,4.027
596,17.4,19,6,3.974
597,17.1,20,6,4.057
598,16.65,21,6,3.859
599,16.25,22,6,3.759
600,16.25,23,6,4.132
601,15.8,0,7,3.716
602,15.35,1,7,3.325
603,14.8,2,7,3.111
604,14.25,3,7,3.03
605,13.5,4,7,3.046
606,13.4,5,7,3.096
607,14.35,6,7,3.254
608,15.8,7,7,3.39
609,17.7,8,7,3.606
610,19,9,7,3.718
611,21.05,10,7,3.755
612,22.2,11,7,3.768
613,22.45,12,7,3.768
614,24.95,13,7,3.834
615,24.75,14,7,3.957
616,25.05,15,7,4.199
617,26.4,16,7,4.393
618,26.2,17,7,4.532
619,26.5,18,7,4.516
620,25.85,19,7,4.38
621,24.4,20,7,4.39
622,23.6,21,7,4.142
623,22.65,22,7,3.954
624,21.5,23,7,4.233
625,20.15,0,1,3.795
626,19.9,1,1,3.425
627,18.85,2,1,3.209
628,18.7,3,1,3.124
629,18.75,4,1,3.177
630,18.65,5,1,3.288
631,20.05,6,1,3.498
632,23.45,7,1,3.715
633,24.9,8,1,4.092
634,26.45,9,1,4.383
635,28.55,10,1,4.644
636,30.6,11,1,4.909
637,31.55,12,1,5.184
638,32.8,13,1,5.518
639,33.5,14,1,5.889
640,33.7,15,1,6.288
641,34.45,16,1,6.643
642,34.2,17,1,6.729
643,33.65,18,1,6.567
644,32.9,19,1,6.179
645,31.75,20,1,5.903
646,30.5,21,1,5.278
647,29.25,22,1,4.788
648,28.1,23,1,4.885
649,26.45,0,2,4.363
650,25.4,1,2,4.011
651,25.4,2,2,3.823
652,25.15,3,2,3.762
653,25.4,4,2,3.998
654,25.1,5,2,4.598
655,25.95,6,2,5.349
656,28.1,7,2,5.898
657,30.4,8,2,6.487
658,32,9,2,6.941
659,33.75,10,2,7.381
660,34.7,11,2,7.796
661,35.8,12,2,8.185
662,37,13,2,8.522
663,39.05,14,2,8.825
664,39.75,15,2,9.103
665,41.2,16,2,9.198
666,41.05,17,2,8.889
667,36.05,18,2,8.174
668,28.25,19,2,7.214
669,24.45,20,2,6.481
670,23.15,21,2,5.611
671,22.05,22,2,5.026
672,21.6,23,2,5.052
673,21.45,0,3,4.484
674,20.8,1,3,4.148
675,20.25,2,3,3.955
676,19.7,3,3,3.873
677,19.4,4,3,4.06
678,19.65,5,3,4.626
679,19.1,6,3,5.272
680,18.65,7,3,5.441
681,18.9,8,3,5.535
682,19.4,9,3,5.534
683,20.7,10,3,5.61
684,21.75,11,3,5.671
685,22.35,12,3,5.724
686,24.1,13,3,5.793
687,23.35,14,3,5.838
688,24.4,15,3,5.908
689,22.95,16,3,5.868
690,22.4,17,3,5.574
691,20.95,18,3,5.276
692,19.6,19,3,5.065
693,18.9,20,3,4.976
694,18,21,3,4.554
695,17.4,22,3,4.282
696,16.8,23,3,4.547
697,16.55,0,4,4.053
698,16.3,1,4,3.72
699,16.25,2,4,3.536
700,16.75,3,4,3.524
701,16.7,4,4,3.792
702,17.1,5,4,4.42
703,17.5,6,4,5.075
704,18.15,7,4,5.208
705,18.85,8,4,5.344
706,20.65,9,4,5.482
707,22.6,10,4,5.701
708,25.6,11,4,5.936
709,28.5,12,4,6.21
710,26.75,13,4,6.462
711,27.2,14,4,6.683
712,27.3,15,4,6.979
713,27.5,16,4,7.059
714,27,17,4,6.893
715,25.45,18,4,6.535
716,24.5,19,4,6.121
717,23.85,20,4,5.797
718,23.2,21,4,5.152
719,22.55,22,4,4.705
720,21.85,23,4,4.805
721,21.05,0,5,4.272
722,20.2,1,5,3.975
723,19.95,2,5,3.805
724,20.4,3,5,3.775
725,20.3,4,5,3.996
726,20.1,5,5,4.535
727,20.45,6,5,5.275
728,20.9,7,5,5.509
729,21.45,8,5,5.73
730,21.8,9,5,5.87
731,23.25,10,5,6.034
732,24.1,11,5,6.175
733,25.2,12,5,6.34
734,25.55,13,5,6.5
735,25.9,14,5,6.603
736,25.45,15,5,6.804
737,26.05,16,5,6.787
738,25.35,17,5,6.46
739,23.9,18,5,6.043
740,22.25,19,5,5.627
741,22,20,5,5.367
742,21.7,21,5,4.866
743,21.45,22,5,4.575
744,20.55,23,5,4.728
745,19,0,6,4.157
746,18.85,1,6,3.795
747,18.7,2,6,3.607
748,19.05,3,6,3.537
749,19.35,4,6,3.596
750,19.35,5,6,3.803
751,19.45,6,6,4.125
752,19.6,7,6,4.398
753,20.55,8,6,4.66
754,22.4,9,6,4.853
755,24.55,10,6,5.115
756,26.9,11,6,5.412
757,27.95,12,6,5.669
758,28.5,13,6,5.93
759,28.2,14,6,6.216
760,29.05,15,6,6.466
761,28.7,16,6,6.641
762,28.8,17,6,6.605
763,27.15,18,6,6.316
764,24.9,19,6,5.821
765,23.5,20,6,5.52
766,23.35,21,6,5.016
767,23,22,6,4.657
768,22.3,23,6,4.746
769,21.4,0,7,4.197
770,20.7,1,7,3.823
771,19.85,2,7,3.613
772,19.4,3,7,3.505
773,19.25,4,7,3.488
774,18.7,5,7,3.532
775,18.65,6,7,3.716
776,20.2,7,7,4.011
777,23.4,8,7,4.421
778,26.4,9,7,4.836
779,27.45,10,7,5.296
780,29.15,11,7,5.766
781,32.05,12,7,6.233
782,34.5,13,7,6.646
783,34.95,14,7,7.011
784,36.55,15,7,7.38
785,37.85,16,7,7.66
786,38.4,17,7,7.804
787,35.15,18,7,7.691
788,34.05,19,7,7.364
789,34.1,20,7,7.019
790,33.1,21,7,6.26
791,30.3,22,7,5.545
792,29.3,23,7,5.437
793,27.55,0,1,4.806
794,26.6,1,1,4.457
795,25.9,2,1,4.235
796,25.5,3,1,4.172
797,25.15,4,1,4.396
798,25,5,1,5.002
799,25.15,6,1,5.817
800,27,7,1,6.266
801,31.15,8,1,6.732
802,32.75,9,1,7.049
803,31.5,10,1,7.184
804,26.9,11,1,7.085
805,23.9,12,1,6.798
806,23.15,13,1,6.632
807,22.85,14,1,6.408
808,21.5,15,1,6.218
809,21.15,16,1,5.968
810,21.3,17,1,5.544
811,19.7,18,1,5.217
812,18.8,19,1,4.964
813,18.45,20,1,4.758
814,18.3,21,1,4.328
815,17.8,22,1,4.074
816,16.85,23,1,4.367
817,16.4,0,2,3.883
818,16.15,1,2,3.536
819,15.7,2,2,3.404
820,15.5,3,2,3.396
821,15.4,4,2,3.624
822,15.3,5,2,4.271
823,15.05,6,2,4.916
824,15.65,7,2,4.953
825,18.1,8,2,5.016
826,19.2,9,2,5.048
827,21.05,10,2,5.106
828,22.35,11,2,5.124
829,23.45,12,2,5.2
830,24.85,13,2,5.244
831,24.95,14,2,5.242
832,25.55,15,2,5.341
833,25.3,16,2,5.368
834,24.25,17,2,5.166
835,22.75,18,2,4.91
836,20.85,19,2,4.762
837,19.35,20,2,4.7
838,18.25,21,2,4.276
839,17.45,22,2,4.035
840,17,23,2,4.318
841,16.5,0,3,3.858
842,16.1,1,3,3.55
843,15.95,2,3,3.399
844,15.3,3,3,3.382
845,14.55,4,3,3.59
846,14.25,5,3,4.261
847,14.4,6,3,4.937
848,15.55,7,3,4.994
849,18.3,8,3,5.094
850,20,9,3,5.168
851,22.75,10,3,5.303
852,25.45,11,3,5.41
853,25.8,12,3,5.571
854,26.35,13,3,5.74
855,29.15,14,3,5.9
856,30.45,15,3,6.177
857,30.35,16,3,6.274
858,29.6,17,3,6.039
859,27.55,18,3,5.7
860,25.55,19,3,5.389
861,23.65,20,3,5.192
862,22.95,21,3,4.672
863,21.85,22,3,4.359
864,20.7,23,3,4.614
865,20.15,0,4,4.118
866,19.3,1,4,3.805
867,19,2,4,3.627
868,18.4,3,4,3.646
869,17.8,4,4,3.882
870,17.75,5,4,4.47
871,18,6,4,5.106
872,20.8,7,4,5.274
873,23.4,8,4,5.507
874,25.75,9,4,5.711
875,27.75,10,4,5.95
876,29.6,11,4,6.2
877,32.15,12,4,6.527
878,32.9,13,4,6.884
879,33.65,14,4,7.196
880,34.3,15,4,7.615
881,34.8,16,4,7.845
882,35.05,17,4,7.759
883,33.75,18,4,7.437
884,33.25,19,4,7.059
885,32.4,20,4,6.584
886,31.25,21,4,5.742
887,29.65,22,4,5.125
888,28.55,23,4,5.139
889,26.55,0,5,4.564
890,25.95,1,5,4.218
891,25,2,5,4.025
892,24.4,3,5,4
893,24.15,4,5,4.245
894,24.15,5,5,4.783
895,24.35,6,5,5.504
896,26.9,7,5,5.92
897,28.75,8,5,6.271
898,30.35,9,5,6.549
899,32.75,10,5,6.894
900,34.25,11,5,7.231
901,35.3,12,5,7.535
902,28.4,13,5,7.597
903,27.25,14,5,7.562
904,26.6,15,5,7.609
905,25.75,16,5,7.534
906,25.35,17,5,7.118
907,23.15,18,5,6.448
908,21.55,19,5,5.963
909,20.85,20,5,5.565
910,20.55,21,5,5.005
911,20.35,22,5,4.666
912,20.55,23,5,4.85
913,20.6,0,6,4.302
914,19.9,1,6,3.905
915,19.55,2,6,3.678
916,19.2,3,6,3.61
917,18.9,4,6,3.672
918,18.85,5,6,3.869
919,19.25,6,6,4.204
920,21,7,6,4.541
921,23.05,8,6,4.944
922,25.35,9,6,5.265
923,27.7,10,6,5.651
924,31.05,11,6,6.09
925,35.25,12,6,6.547
926,35.1,13,6,6.935
927,36.85,14,6,7.318
928,39.25,15,6,7.625
929,40,16,6,7.793
930,39.45,17,6,7.76
931,38.95,18,6,7.51
932,37.75,19,6,7.145
933,33.85,20,6,6.805
934,30.4,21,6,6.103
935,25.7,22,6,5.52
936,25.4,23,6,5.462
937,25.6,0,7,4.824
938,28.15,1,7,4.444
939,32.4,2,7,4.237
940,31.85,3,7,4.157
941,31.35,4,7,4.164
942,31.2,5,7,4.275
943,31.1,6,7,4.545
944,31.95,7,7,5.033
945,32.45,8,7,5.594
946,35.2,9,7,6.176
947,38.4,10,7,6.681
948,35.85,11,7,6.628
949,30.7,12,7,6.238
950,27.85,13,7,6.039
951,26.9,14,7,5.897
952,26.65,15,7,5.832
953,25.25,16,7,5.701
954,24.45,17,7,5.483
955,22.5,18,7,4.949
956,22.05,19,7,4.589
957,20,20,7,4.407
958,19.75,21,7,4.027
959,19.1,22,7,3.82
960,18.5,23,7,4.075
961,18.4,0,1,3.65
962,17.4,1,1,3.388
963,16.9,2,1,3.271
964,16.8,3,1,3.268
965,16.45,4,1,3.498
966,16.05,5,1,4.086
967,16.3,6,1,4.8
968,17.45,7,1,4.933
969,19.3,8,1,5.102
970,20,9,1,5.126
971,21.05,10,1,5.194
972,22.8,11,1,5.26
973,22.55,12,1,5.319
974,23.3,13,1,5.364
975,24.05,14,1,5.419
976,23.1,15,1,5.559
977,23.1,16,1,5.568
978,22.5,17,1,5.332
979,20.8,18,1,5.027
980,19.55,19,1,4.864
981,18.8,20,1,4.738
982,18.2,21,1,4.303
983,17.65,22,1,4.093
984,17.75,23,1,4.379
985,17.15,0,2,3.952
986,16.55,1,2,3.632
987,16.2,2,2,3.461
988,16,3,2,3.446
989,15.6,4,2,3.732
990,15.15,5,2,4.294
991,15.15,6,2,4.911
992,16.25,7,2,5.021
993,17.8,8,2,5.138
994,19.15,9,2,5.223
995,21,10,2,5.348
996,22.8,11,2,5.479
997,23.85,12,2,5.661
998,24.25,13,2,5.832
999,26.2,14,2,5.966
1000,25.65,15,2,6.178
1001,25.05,16,2,6.212
1002,23.85,17,2,5.949
1003,23.6,18,2,5.64
